,1,2
TARGET,LAAM_a,LAAM_b
Gnai3,13.31259938,13.31259938
Cdc45,11.9279424095367,13.31259938
Scml2,11.0143773673306,5.64790711733757
Narf,11.6705656989258,11.353255110767
Cav2,13.31259938,13.31259938
Klf6,13.31259938,13.31259938
Scmh1,13.31259938,13.31259938
Cox5a,13.31259938,13.31259938
Tbx2,9.67744705660198,10.4133633273921
Tbx4,10.3440816738203,10.1582687066295
Fer,13.31259938,13.31259938
Xpo6,13.31259938,13.31259938
Tfe3,13.31259938,13.31259938
Brat1,13.31259938,13.31259938
Gna12,13.31259938,13.31259938
Slc22a18,13.31259938,11.6852555338689
Dlat,13.31259938,13.31259938
Sdhd,13.31259938,13.31259938
Gpr107,13.31259938,13.31259938
Slfn4,10.8920221544996,11.1145546639563
Tspan32,13.31259938,13.31259938
Clec2g,9.48657499836624,9.73270456436554
Gmpr,11.9977661915442,13.31259938
Mid2,10.9088092043672,11.2275897799441
Trim25,13.31259938,13.31259938
Dgke,10.8556875961355,10.7937726980307
Scpep1,13.31259938,13.31259938
Mnt,13.31259938,13.31259938
Itgb2,13.31259938,13.31259938
Hddc2,13.31259938,13.31259938
Cdh1,9.22358014368445,7.39485641099327
Bcl6b,10.571958325464,9.81738188359846
Clec10a,13.31259938,13.31259938
Arvcf,11.9315407049135,11.3753154381182
Comt,13.31259938,13.31259938
Rtca,13.31259938,13.31259938
Dbt,13.31259938,13.31259938
Dazap2,13.31259938,13.31259938
Mcts1,13.31259938,13.31259938
Rem1,11.6382151180365,10.6859074364869
Rnf17,10.3624783514845,9.91824009345305
Trappc10,13.31259938,13.31259938
Ccm2,13.31259938,13.31259938
Tbrg4,13.31259938,13.31259938
Mx1,13.31259938,13.31259938
Fap,8.77468194455038,8.43556171369205
Ndufa9,13.31259938,13.31259938
Egfl6,10.1826311760156,10.179175910108
Lck,10.9202380268077,10.4148331095542
Galnt1,13.31259938,13.31259938
Mkrn2,13.31259938,13.31259938
Pparg,13.31259938,13.31259938
Pdgfb,13.31259938,13.31259938
Acvrl1,13.31259938,13.31259938
Grasp,9.64023468691704,10.3791383444117
Acvr1b,13.31259938,13.31259938
Tom1l2,13.31259938,13.31259938
Zfp385a,13.31259938,13.31259938
Itga5,13.31259938,13.31259938
Wdr77,13.31259938,13.31259938
Hnrnpd,13.31259938,13.31259938
C1d,13.31259938,13.31259938
Gm2a,13.31259938,13.31259938
Krit1,13.31259938,13.31259938
Clcn4,13.31259938,13.31259938
Hk2,13.31259938,13.31259938
Myo18a,13.31259938,13.31259938
Cd52,13.31259938,13.31259938
Loxl3,13.31259938,11.8803290653327
Kat2b,13.31259938,13.31259938
Icosl,13.31259938,13.31259938
Spg7,13.31259938,13.31259938
Chmp1a,13.31259938,13.31259938
Rpa1,13.31259938,13.31259938
Serpinf1,13.31259938,13.31259938
Tubgcp3,13.31259938,13.31259938
Polr3d,13.31259938,13.31259938
Tcf7,10.5889842435571,11.4801223115805
Kcnn3,9.76302563300288,11.2217236955825
Usp32,13.31259938,13.31259938
Car4,13.31259938,13.31259938
Txnrd3,11.7266742420294,11.4402637809657
Zfp512b,13.31259938,13.31259938
Dnajc5,13.31259938,13.31259938
Tpd52l2,13.31259938,13.31259938
Fmr1,13.31259938,13.31259938
Bcl11a,10.4352543665759,10.5693210271818
Pxmp4,13.31259938,13.31259938
Dlg3,11.8491410799422,11.8835172598936
Mmp11,7.99140739193253,6.9520296583142
Smarcb1,13.31259938,13.31259938
Vpreb3,10.7536815985853,11.2905899012241
Hip1r,10.7195979399079,11.1378813045676
Nsun5,13.31259938,11.8299892828057
Top1mt,11.2833666625513,11.1307439644525
Mmp14,11.480824158051,13.31259938
Slc7a7,13.31259938,13.31259938
Oxa1l,13.31259938,13.31259938
Heatr6,13.31259938,13.31259938
Ccl3,13.31259938,13.31259938
Wfdc18,11.5466597571182,11.5325127396742
Ilf2,13.31259938,13.31259938
Chtop,13.31259938,13.31259938
Snapin,13.31259938,13.31259938
S100a3,9.76993322237687,8.84178141674847
S100a6,13.31259938,13.31259938
Icam2,13.31259938,13.31259938
Mapk7,13.31259938,13.31259938
Epn2,13.31259938,13.31259938
Sec24b,13.31259938,13.31259938
N4bp3,11.7755429975138,11.3478792807531
Rmnd5b,13.31259938,13.31259938
Nhp2,13.31259938,13.31259938
Vps9d1,13.31259938,13.31259938
Zfp276,13.31259938,13.31259938
Mfsd10,13.31259938,13.31259938
Kctd10,13.31259938,13.31259938
Poldip2,13.31259938,13.31259938
Ift20,13.31259938,13.31259938
Col6a1,10.9295220049415,11.3230457011554
Pcbp3,11.6141069466029,11.9108570751956
Lgals9,13.31259938,13.31259938
Araf,13.31259938,13.31259938
Cfp,13.31259938,13.31259938
Cnnm3,13.31259938,13.31259938
Lman2l,13.31259938,13.31259938
Mcm3ap,13.31259938,13.31259938
Mxd1,13.31259938,13.31259938
Gmcl1,13.31259938,13.31259938
Snrnp27,13.31259938,13.31259938
Oas1c,11.4737902812079,11.4596188026593
Ocrl,13.31259938,13.31259938
Calm1,13.31259938,13.31259938
Agpat3,13.31259938,13.31259938
Sema6b,13.31259938,13.31259938
Uhrf1,13.31259938,13.31259938
Dpp9,13.31259938,13.31259938
Lsr,13.31259938,13.31259938
Gramd1a,13.31259938,13.31259938
Hpn,13.31259938,13.31259938
Ckb,13.31259938,13.31259938
Sp1,13.31259938,13.31259938
Itgb7,11.9569850865333,13.31259938
Myg1,13.31259938,13.31259938
Rarg,13.31259938,13.31259938
Pfdn5,13.31259938,13.31259938
Efnb2,11.7738258921124,11.9504125955482
Rrp15,13.31259938,13.31259938
Rnd2,11.4279427092939,11.8436950315152
Srr,13.31259938,13.31259938
Acp5,13.31259938,13.31259938
Fbxo9,13.31259938,13.31259938
Vps50,13.31259938,13.31259938
Hars,13.31259938,13.31259938
Zmat2,13.31259938,13.31259938
Ube2c,13.31259938,13.31259938
Smg5,13.31259938,13.31259938
Cct3,13.31259938,13.31259938
Glmp,13.31259938,13.31259938
Snd1,13.31259938,13.31259938
Col18a1,10.2516993696612,9.66267708900471
Slc19a1,13.31259938,13.31259938
Kpnb1,13.31259938,13.31259938
Npepps,13.31259938,13.31259938
Mrpl10,13.31259938,13.31259938
Cyp51,13.31259938,13.31259938
Tcf25,13.31259938,13.31259938
Tubb6,13.31259938,13.31259938
Def8,13.31259938,13.31259938
Nkx2.1,10.1565126859396,10.131701293783
Col1a1,13.31259938,13.31259938
Itga3,10.0899899843644,9.50325146642521
Foxm1,13.31259938,11.9554710132734
Itfg2,13.31259938,13.31259938
Tulp3,11.2801446889962,10.8050256056069
Gtf2h4,13.31259938,13.31259938
Tubb5,13.31259938,13.31259938
Ell2,11.9478767201142,13.31259938
Jup,13.31259938,13.31259938
Fkbp10,9.689640895226,10.616070135103
Nom1,13.31259938,13.31259938
Ergic1,13.31259938,13.31259938
Acap1,10.7513566781667,11.3463396428447
Stk38l,13.31259938,13.31259938
Brpf1,13.31259938,13.31259938
Gstt1,13.31259938,11.584373874239
Gstt3,13.31259938,11.7296298940033
Ddt,13.31259938,13.31259938
Ubl3,13.31259938,13.31259938
Gramd3,13.31259938,13.31259938
Eef1e1,13.31259938,13.31259938
Akt1,13.31259938,13.31259938
Cldn15,10.7255321773266,8.9183867052396
Il16,13.31259938,13.31259938
Tcirg1,13.31259938,13.31259938
Naglu,13.31259938,13.31259938
Coasy,13.31259938,13.31259938
Smo,13.31259938,13.31259938
Tspan33,13.31259938,13.31259938
Crnkl1,13.31259938,13.31259938
Rin2,13.31259938,13.31259938
Chordc1,13.31259938,13.31259938
Rtcb,13.31259938,13.31259938
Pwp1,13.31259938,13.31259938
Capns1,13.31259938,13.31259938
Lrp3,10.2301555901901,9.27304082092683
Clpb,13.31259938,13.31259938
Sept7,10.5493861034395,10.3301285631
Zdhhc4,13.31259938,13.31259938
Rac1,13.31259938,13.31259938
Nup214,13.31259938,13.31259938
Cpa3,13.31259938,13.31259938
Ltbp1,13.31259938,13.31259938
Ugp2,13.31259938,13.31259938
Trmt1,13.31259938,13.31259938
Slc1a5,13.31259938,13.31259938
Uba1,13.31259938,13.31259938
Vwf,13.31259938,13.31259938
Siae,13.31259938,13.31259938
Esam,11.2573871177924,11.589589059042
Spa17,10.75832022961,10.9690761932905
Fam50a,13.31259938,13.31259938
Emd,13.31259938,13.31259938
Taco1,11.2275897799441,11.6025451336779
Sipa1l2,13.31259938,13.31259938
Ap4e1,13.31259938,13.31259938
Blvra,13.31259938,13.31259938
Idh3g,13.31259938,13.31259938
Ssr4,13.31259938,13.31259938
Bcap31,13.31259938,13.31259938
Fam98a,13.31259938,13.31259938
Ltbp2,8.60479743239951,8.80638376254581
Ift46,13.31259938,13.31259938
Cd3g,8.72341316030791,10.6563901298079
Trappc6a,13.31259938,13.31259938
Supt6,13.31259938,13.31259938
Spag5,13.31259938,13.31259938
Unc119,13.31259938,13.31259938
Rab34,13.31259938,13.31259938
Sdf2,13.31259938,13.31259938
Ccne1,7.72374875817068,7.43016908985401
Bbc3,13.31259938,13.31259938
Mybpc3,9.34881167333531,9.34881167333531
Psmc3,13.31259938,13.31259938
Acp2,13.31259938,13.31259938
Rapsn,9.83285754239204,9.26001622050148
Slc39a13,13.31259938,13.31259938
Nr1h3,13.31259938,13.31259938
Ddb2,13.31259938,11.9217529461125
Spi1,13.31259938,13.31259938
Sf3a1,13.31259938,13.31259938
Stat6,13.31259938,13.31259938
Napsa,11.9519319840123,13.31259938
Vrk3,13.31259938,13.31259938
Smg9,13.31259938,13.31259938
Paxip1,13.31259938,13.31259938
Rmnd5a,13.31259938,13.31259938
Mov10,13.31259938,13.31259938
Rhoc,13.31259938,13.31259938
Ppard,13.31259938,13.31259938
Def6,13.31259938,13.31259938
Peg3,10.3685588136229,8.11228735138561
Metrn,13.31259938,13.31259938
Lmf1,13.31259938,13.31259938
Narfl,13.31259938,13.31259938
Angptl4,13.31259938,13.31259938
Dbf4,13.31259938,13.31259938
Daxx,13.31259938,13.31259938
Cd320,11.8371325197241,11.9072067544121
Ipo4,13.31259938,13.31259938
Tm9sf1,13.31259938,13.31259938
Irf9,13.31259938,13.31259938
Gmpr2,13.31259938,13.31259938
Mdp1,13.31259938,13.31259938
Dhrs1,13.31259938,13.31259938
Tmem161a,13.31259938,13.31259938
Armc6,11.8523988682242,13.31259938
Slc25a42,10.9978008800825,10.5915858727929
Snx9,13.31259938,13.31259938
Ranbp3,13.31259938,13.31259938
Nr2f6,13.31259938,13.31259938
Use1,13.31259938,13.31259938
Ocel1,13.31259938,13.31259938
Dyrk1b,11.7812519667967,11.5270866982592
Braf,13.31259938,13.31259938
Ndufb2,13.31259938,13.31259938
Hltf,13.31259938,13.31259938
Prpf6,13.31259938,13.31259938
Rgs19,13.31259938,13.31259938
Abhd3,10.8050256056069,11.159960593263
Snrpd1,13.31259938,13.31259938
Tchp,11.8349383653288,11.7472377633623
Tiam1,13.31259938,13.31259938
Tsc2,13.31259938,13.31259938
Slc9a3r2,13.31259938,13.31259938
Puf60,13.31259938,13.31259938
Golga2,13.31259938,13.31259938
Mien1,13.31259938,13.31259938
Axl,13.31259938,13.31259938
Tgfb1,13.31259938,13.31259938
Ccdc97,13.31259938,13.31259938
Zfp40,11.639472877971,11.2175189839148
Akap8l,13.31259938,13.31259938
Pdcd2l,13.31259938,13.31259938
Gtf2f1,13.31259938,13.31259938
Clpp,13.31259938,13.31259938
Alkbh7,13.31259938,13.31259938
Dennd1c,13.31259938,13.31259938
Med6,13.31259938,13.31259938
Lcp2,13.31259938,13.31259938
Cse1l,13.31259938,13.31259938
Prkra,13.31259938,13.31259938
Fkbp7,13.31259938,13.31259938
Plekha3,13.31259938,13.31259938
Ykt6,13.31259938,13.31259938
Baz1b,13.31259938,13.31259938
Pex6,13.31259938,13.31259938
Mrpl2,13.31259938,13.31259938
Mea1,13.31259938,13.31259938
Grin2d,10.0863052704554,10.2954418242255
Kdelr1,13.31259938,13.31259938
Tmem143,11.8967260837604,13.31259938
Ggct,11.8658943534792,13.31259938
Jag2,7.67551641651434,9.92856618582828
Btbd6,11.8744656799592,11.6748657068358
Nudt14,13.31259938,13.31259938
Flii,13.31259938,13.31259938
Top3a,11.805546321257,11.8183749688788
Atg4d,13.31259938,13.31259938
Qtrt1,11.9473690097007,11.6858643762374
Hdgfrp2,13.31259938,13.31259938
Chaf1a,11.7064136041486,11.7663613948678
Adprh,13.31259938,13.31259938
Tmem39a,13.31259938,13.31259938
Timmdc1,13.31259938,13.31259938
Mcm2,13.31259938,13.31259938
Tpra1,13.31259938,13.31259938
Nab1,13.31259938,13.31259938
Adgre5,13.31259938,13.31259938
Il17ra,13.31259938,13.31259938
Lamb1,3.07702254051705,11.2541065319032
Arrdc2,13.31259938,13.31259938
Cd36,13.31259938,13.31259938
Timm44,13.31259938,13.31259938
Pnkp,13.31259938,13.31259938
Med25,13.31259938,13.31259938
Bcam,13.31259938,13.31259938
Clptm1,13.31259938,13.31259938
Relb,13.31259938,13.31259938
Apoe,13.31259938,13.31259938
Hbp1,13.31259938,13.31259938
